MODELO;ID_CLIENTE;MODELOS;MARCA
EXPLORER XLT 3.5;1327;EXPLORER;FORD
EXPLORER XLT 3.5 AUT;1517;EXPLORER;FORD
FORESTER;2709;FORESTER;SUBARU
FORESTER 2.0;389;FORESTER;SUBARU
FORESTER 2.0 AWD;460;FORESTER;SUBARU
FORESTERI;460;FORESTER;SUBARU
GRAND CARNIVAL;577;GRAND CARNIVAL;KIA
GRAND CARNIVAL LX 2.;528;GRAND CARNIVAL;KIA
GRAND CARNIVAL LX 2.2;380;GRAND CARNIVAL;KIA
GRAND CHEROKEE;553;GRAND CHEROKEE;JEEP
GRAND CHEROKEE 3.6;440;GRAND CHEROKEE;JEEP
GRAND CHEROKEE LARED;1053;GRAND CHEROKEE;JEEP
GRAND CHEROKEE LAREDO 3.6 AUT;809;GRAND CHEROKEE;JEEP
GRAND CHEROKEE LIMIT;407;GRAND CHEROKEE;JEEP
GRAND NOMADE;8769;GRAND NOMADE;SUZUKI
GRAND NOMADE 2.0;428;GRAND NOMADE;SUZUKI
GRAND NOMADE 2.4;1010;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX 2.0;2955;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX 2.4;564;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX 4X4;469;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX 4X4 2.4;1198;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX 4X4 2.4 AUT;386;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPO;3784;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPORT 2.0;940;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPORT 2.4;4236;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPORT 2.4 AT;893;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPORT 2.4 AUT;509;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPORT 4X4 2.4;1532;GRAND NOMADE;SUZUKI
GRAND NOMADE GLX SPORT 4X4 2.4 AT;426;GRAND NOMADE;SUZUKI
GRAND NOMADE4X4;533;GRAND NOMADE;SUZUKI
GRAND NOMADESPORT;909;GRAND NOMADE;SUZUKI
GRAND TIGGO;1199;GRAND TIGGO;CHERY
GRAND TIGGO GLS 2.0;420;GRAND TIGGO;CHERY
GRAND VITARA;4617;GRAND VITARA;SUZUKI
GRAND VITARA 1.6;552;GRAND VITARA;SUZUKI
GRAND VITARA GLX 1.6;1005;GRAND VITARA;SUZUKI
GRAND VITARA GLX 4X4;827;GRAND VITARA;SUZUKI
GRAND VITARA GLX 4X4 1.6;1671;GRAND VITARA;SUZUKI
GRAND VITARA GLX SPO;2189;GRAND VITARA;SUZUKI
GRAND VITARA GLX SPORT 1.6;824;GRAND VITARA;SUZUKI
GRAND VITARA GLX SPORT 4X4 1.6;2350;GRAND VITARA;SUZUKI
GRAND VITARA GLX SPORT 4X4 2.4;911;GRAND VITARA;SUZUKI
GRAND VITARA GLX SPORT 4X4 2.4 AT;457;GRAND VITARA;SUZUKI
H30;532;H30;DFM
H30 CROSS 1.6;366;H30;DFM
H30 CROSS ELEGANTE 1.6;764;H30;DFM
HAVAL;702;HAVAL;HAVAL
HAVAL 3;2874;HAVAL;HAVAL
HAVAL H3 2.0;1028;HAVAL;HAVAL
HAVAL H3 LE 2.0;6294;HAVAL;HAVAL
HAVAL H3 LE 4X4 2.0;536;HAVAL;HAVAL
HAVAL H5 LX 2.4;3167;HAVAL;HAVAL
HAVAL H5 LX 4X4 2.4;887;HAVAL;HAVAL
HAVAL NEW H3;424;HAVAL;HAVAL
HAVAL NEW H3 2.0;587;HAVAL;HAVAL
HOVER 2.4;463;HOVER ;GREAT WALL
HOVER SA 2.4;707;HOVER ;GREAT WALL
HR V;598;HR V;HONDA
HUNTER;916;HUNTER;ZOTYE
HUNTER 1.3;2669;HUNTER;ZOTYE
HUNTER FULL 1.3;1286;HUNTER;ZOTYE
HUNTER STD 1.3;747;HUNTER;ZOTYE
JIMNY;1478;JIMNY;SUZUKI
JIMNY JLX 4X4 1.3;863;JIMNY;SUZUKI
JIMNY JLX SPORT 4X4 1.3;514;JIMNY;SUZUKI
JIMNY JX 4X4 1.3;637;JIMNY;SUZUKI
JOURNEY;2706;JOURNEY;DODGE
JOURNEY 2.4 AT;401;JOURNEY;DODGE
JOURNEY 2.4 AUT;1211;JOURNEY;DODGE
JOURNEY SE;378;JOURNEY;DODGE
JOURNEY SE 2.4 AT;767;JOURNEY;DODGE
JOURNEY SE 2.4 AUT;1148;JOURNEY;DODGE
JOURNEY SXT 2.4;398;JOURNEY;DODGE
JOURNEY SXT 2.4 AUT;717;JOURNEY;DODGE
JOURNEY SXT 2.7 AT;449;JOURNEY;DODGE
JOURNEY SXT 2.7 AUT;563;JOURNEY;DODGE
JOYEAR;995;JOYEAR;DFM
JUKE;937;JUKE;NISSAN
JUKE 1.6;541;JUKE;NISSAN
JUKE 1.6 AUT;548;JUKE;NISSAN
KICKS;414;KICKS;NISSAN
KOLEOS;1478;KOLEOS;RENAULT
KOLEOS DYNAMIQUE 2.5;456;KOLEOS;RENAULT
KOLEOS DYNAMIQUE 2.5 AT;880;KOLEOS;RENAULT
KOLEOS EXPRESSION 2.5;883;KOLEOS;RENAULT
KORANDO;4514;KORANDO;SSANGYONG
KORANDO 2.0;3873;KORANDO;SSANGYONG
KORANDO 2.0 AUT;561;KORANDO;SSANGYONG
KORANDO XDI;580;KORANDO;SSANGYONG
KORANDO XDI 2.0;3144;KORANDO;SSANGYONG
